topic,rank,title,link,snippet
1,15,Data Science for Research in Health and Biomedicine MSc,http://www.ucl.ac.uk/prospective-students/graduate/taught/degrees/data-science-research-health-biomedicine-msc,Core Modules                                  Applications of Electronic Health Records Research                         Data Management for Health Research                         Statistics for Epidemiology and Public Health                         Statistical Methods in Epidemiology                         Topics in Health Data Science                                  Options                                  Advanced Statistics for Records Research                         Database Systems                         Information Retrieval and Data Mining                         Principles of Health Informatics                         Statistical Computing and Data Visualisation using R                         Statistics for Interpreting Genetic Data                         Understanding Bioinformatics Resources and their Application                                                     Dissertation/report                                All students undertake an independent research project which culminates in a dissertation.                                
1,16,Prof. Ingemar J. Cox and Prof. Stephen Robertson elected Fellows of the ACM « UCL Media Futures Group,http://mediafutures.cs.ucl.ac.uk/blog/prof-ingemar-j-cox-and-prof-stephen-robertson-elected-fellows-of-the-acm/,Announcement                                                        «                     Information Retrieval & Data Mining Assignment 2014                                                  [Invited talk] To be or not be engaged: What is the question (to ask)?                    
1,17,UCL Media Futures Group,http://mediafutures.cs.ucl.ac.uk,"Announcement                                                                               Information Retrieval & Data Mining Assignment 2014                                                   By marcsloan, on February 3rd, 2014                                        The data set for Section A (Text Retrieval) of the Information Retrieval and Data Mining Assignment 2014 can be downloaded using the links below: Information Retrieval Assignment Dataset Part 1 (965) Inf"
1,18,UCL Media Futures Group,http://mediafutures.cs.ucl.ac.uk/,"Announcement                                                                               Information Retrieval & Data Mining Assignment 2014                                                   By marcsloan, on February 3rd, 2014                                        The data set for Section A (Text Retrieval) of the Information Retrieval and Data Mining Assignment 2014 can be downloaded using the links below: Information Retrieval Assignment Dataset Part 1 (965) In"
1,19,MRes Computational Statistics and Machine Learning,http://www.cs.ucl.ac.uk/degrees/mres_csml/,"Algorithmic-independent principles such as inductive bias, side information, approximation and estimation errors. "
1,20,MSc Software Systems Engineering,http://www.cs.ucl.ac.uk/degrees/msc_sse/,Further syllabus information can be found here.                                                                                                               
1,21,MSc Software Systems Engineering,http://www.cs.ucl.ac.uk/admissions/msc_sse/,Further syllabus information can be found here.                                                                                                               
2,1,Tuition fees,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees,Fee classification                                           How tuition fees are classified and what your tuition fee covers.                                                        
2,2,Tuition fees,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees,Fee classification                                           How tuition fees are classified and what your tuition fee covers.                                                        
2,3,Fee classification,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/classification,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/classification                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Fees and funding                              Tuition fees                      Fee classification                                          Fees and funding                       Tuition fees                       We know that money can be a worrying topic for most  students. 
2,4,Fee classification,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/classification,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/classification                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Fees and funding                              Tuition fees                      Fee classification                                          Fees and funding                       Tuition fees                       We know that money can be a worrying topic for most  students. 
2,5,Overseas students' fees,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/overseas,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/overseas                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Fees and funding                              Tuition fees                      Overseas students' fees                                          Fees and funding                       Tuition fees                       We know that money can be a worrying topic for most  students. 
2,6,Overseas students' fees,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/overseas,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/overseas                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Fees and funding                              Tuition fees                      Overseas students' fees                                          Fees and funding                       Tuition fees                       We know that money can be a worrying topic for most  students. 
2,7,Tuition fees and living costs,http://www.ucl.ac.uk/prospective-students/international/before-you-apply/tuition-fees-and-living-costs,Tuition fees                             A list of tuition fees can be found on the                     Current students â?? Money page                    . 
2,8,Tuition fees and living costs,http://www.ucl.ac.uk/prospective-students/international/before-you-apply/tuition-fees-and-living-costs/,Tuition fees                             A list of tuition fees can be found on the                     Current students â?? Money page                    . 
2,9,UK/EU students' fees,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/uk-eu,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/uk-eu                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Fees and funding                              Tuition fees                      UK/EU students' fees                                          Fees and funding                       Tuition fees                       We know that money can be a worrying topic for most  students. 
2,10,UK/EU students' fees,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/uk-eu,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/uk-eu                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Fees and funding                              Tuition fees                      UK/EU students' fees                                          Fees and funding                       Tuition fees                       We know that money can be a worrying topic for most  students. 
2,11,Fees and funding,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding,Tuition fees for international students                                           Tuition fees for international students.                                                        
2,12,Fees and funding,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding,Tuition fees for international students                                           Tuition fees for international students.                                                        
2,13,Living expenses and additional costs,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/living-expenses-and-additional-costs,http://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/living-expenses-and-additional-costs                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Fees and funding                              Tuition fees                      Living expenses and additional costs                                          Fees and funding                       Tuition fees                       We know that money can be a worrying topic for most  students. 
2,14,Living expenses and additional costs,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/living-expenses-and-additional-costs,https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/living-expenses-and-additional-costs                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Fees and funding                              Tuition fees                      Living expenses and additional costs                                          Fees and funding                       Tuition fees                       We know that money can be a worrying topic for most  students. 
2,15,Fees,http://www.ucl.ac.uk/prospective-students/undergraduate/london/accommodation/fees,http://www.ucl.ac.uk/prospective-students/undergraduate/london/accommodation/fees                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Living in London                              Accommodation                      Fees                                          Living in London                       Accommodation                       We know finding somewhere convenient and cost-effective to live is a top priority for all new students and we give it equal importance. 
2,16,Fees,https://www.ucl.ac.uk/prospective-students/undergraduate/london/accommodation/fees,https://www.ucl.ac.uk/prospective-students/undergraduate/london/accommodation/fees                  Close                                                                          UCL Home                                      Prospective students                                      Current students                                      Staff                                                                  Undergraduate prospectus                                Home                                                                                                         UCL Home                              Information for Prospective Students                              Undergraduate                              Living in London                              Accommodation                      Fees                                          Living in London                       Accommodation                       We know finding somewhere convenient and cost-effective to live is a top priority for all new students and we give it equal importance. 
2,17,Fees,https://www.ucl.ac.uk/prospective-students/study-abroad-ucl/summer-school/fees,"Tuition and accommodation fees combined                                                                        One block                                                                 Â£2,650                                                  Both blocks                                                                 Â£4,800                                                           To secure your place on the Summer School, and your accommodation if applicable, you will need to pay your fees in full within 30 days of receiving your offer, or by 1 June 2016, whichever is sooner.                                      "
2,18,Fees,http://www.ucl.ac.uk/prospective-students/study-abroad-ucl/summer-school/fees,"Tuition and accommodation fees combined                                                                        One block                                                                 Â£2,650                                                  Both blocks                                                                 Â£4,800                                                           To secure your place on the Summer School, and your accommodation if applicable, you will need to pay your fees in full within 30 days of receiving your offer, or by 1 June 2016, whichever is sooner.                                      "
2,19,Fees,http://www.ucl.ac.uk/prospective-students/study-abroad-ucl/summer-school/fees/,"Tuition and accommodation fees combined                                                                        One block                                                                 Â£2,650                                                  Both blocks                                                                 Â£4,800                                                           To secure your place on the Summer School, and your accommodation if applicable, you will need to pay your fees in full within 30 days of receiving your offer, or by 1 June 2016, whichever is sooner.                                      "
2,20,Repeat Fees,http://www.ucl.ac.uk/current-students/money/repeat-fees,A part-time re-sit student does not pay tuition fees and just re-submits assessments. 
2,21,Repeat Fees,http://www.ucl.ac.uk/current-students/money/repeat-fees/,A part-time re-sit student does not pay tuition fees and just re-submits assessments. 
2,22,Repeat Fees,https://www.ucl.ac.uk/current-students/money/repeat-fees,A part-time re-sit student does not pay tuition fees and just re-submits assessments. 
2,23,Repeat Fees,https://www.ucl.ac.uk/current-students/money/repeat-fees/,A part-time re-sit student does not pay tuition fees and just re-submits assessments. 
2,24,Pay Your Fees,https://www.ucl.ac.uk/new-students/pay-your-fees,Details of current tuition fee rates for undergraduates can be found on the                     current students website                    . 
2,25,Pay Your Fees,https://www.ucl.ac.uk/new-students/pay-your-fees/,Details of current tuition fee rates for undergraduates can be found on the                     current students website                    . 
2,26,Pay Your Fees,http://www.ucl.ac.uk/new-students/pay-your-fees,Details of current tuition fee rates for undergraduates can be found on the                     current students website                    . 
2,27,UK Undergraduates,http://www.ucl.ac.uk/current-students/money/fees-support/tuition_fee_support_uk,Part time undergraduate students can apply for a fee grant. 
2,28,UK Undergraduates,http://www.ucl.ac.uk/current-students/money/fees-support/tuition_fee_support_uk/,Part time undergraduate students can apply for a fee grant. 
2,29,UK Undergraduates,https://www.ucl.ac.uk/current-students/money/fees-support/tuition_fee_support_uk,Part time undergraduate students can apply for a fee grant. 
2,30,UK Undergraduates,https://www.ucl.ac.uk/current-students/money/fees-support/tuition_fee_support_uk/,Part time undergraduate students can apply for a fee grant. 
3,1,I found this… |  UCL Museums & Collections Blog,http://blogs.ucl.ac.uk/museums/tag/i-found-this/,http://blogs.ucl.ac.uk/museums/tag/i-found-this/                                                             UCL Home                                  Prospective students                                  Current students                                  Staff                                                                                               skip to navigation                      .                      
3,2,I found this… |  UCL Museums & Collections Blog,https://blogs.ucl.ac.uk/museums/tag/i-found-this/,https://blogs.ucl.ac.uk/museums/tag/i-found-this/                                                             UCL Home                                  Prospective students                                  Current students                                  Staff                                                                                               skip to navigation                      .                      
3,3,A gene mutation for excessive alcohol drinking found,https://www.ucl.ac.uk/biosciences/biosciences-news-publication/a-gene-mutation-for-excessive-alcohol-drinking-found,https://www.ucl.ac.uk/biosciences/biosciences-news-publication/a-gene-mutation-for-excessive-alcohol-drinking-found                                                                        UCL Home                                  Prospective students                                  Current students                                  Staff                                                                                                                 skip to navigation                      .                      
3,4,A gene mutation for excessive alcohol drinking found,https://www.ucl.ac.uk/biosciences/biosciences-news-publication/a-gene-mutation-for-excessive-alcohol-drinking-found/,https://www.ucl.ac.uk/biosciences/biosciences-news-publication/a-gene-mutation-for-excessive-alcohol-drinking-found/                                                                        UCL Home                                  Prospective students                                  Current students                                  Staff                                                                                                                 skip to navigation                      .                      
3,5,A gene mutation for excessive alcohol drinking found,http://www.ucl.ac.uk/news/news-articles/1113/271113-A-gene-mutation-for-excessive-alcohol-drinking-found,"The burden of alcohol addiction                                Initially funded by the MRC, the 10-year project aimed to find genes affecting alcohol consumption. "
3,6,Year 3,http://www.ucl.ac.uk/medicalschool/staff-students/course-information/year-3,All information regarding the process will be communicated to the Year 2 students via UCL email.                                     
3,7,Year 3,https://www.ucl.ac.uk/medicalschool/staff-students/course-information/year-3,All information regarding the process will be communicated to the Year 2 students via UCL email.                                     
3,8,I found this… |  UCL Museums & Collections Blog,http://blogs.ucl.ac.uk/museums/2012/10/09/i-found-this/,http://blogs.ucl.ac.uk/museums/2012/10/09/i-found-this/                                                             UCL Home                                  Prospective students                                  Current students                                  Staff                                                                                               skip to navigation                      .                      
3,9,I found this… |  UCL Museums & Collections Blog,https://blogs.ucl.ac.uk/museums/2012/10/09/i-found-this/,https://blogs.ucl.ac.uk/museums/2012/10/09/i-found-this/                                                             UCL Home                                  Prospective students                                  Current students                                  Staff                                                                                               skip to navigation                      .                      
3,10,AGI student of the year,https://www.bartlett.ucl.ac.uk/casa/news/2015-11-27-AGI-student-of-the-year,"Her results were intriguing: At the borough level, Sharon found little evidence of demographic bias, but some correlation with crime statistics and transport accessibility â?? suggesting that the dataset is indeed highlighting areas of higher daytime populations. "
3,11,Stage 1 Year Out at The Bartlett School of Architecture,http://www.bartlett.ucl.ac.uk/architecture/programmes/professional-studies/stage-1-year-out,You are encouraged to enrol as soon as possible even if you have not yet found a placement.                          
3,12,Stage 1 Year Out at The Bartlett School of Architecture,https://www.bartlett.ucl.ac.uk/architecture/programmes/professional-studies/stage-1-year-out,You are encouraged to enrol as soon as possible even if you have not yet found a placement.                          
3,13,Arthur Kay named Guardian Sustainable Business Leader of the Year,http://www.igp.ucl.ac.uk/bartlett/architecture/news/guardian-sustainable-business-leader-of-the-year,UCL Inst. for Sustainable Heritage                                  UCL Inst. for Sustainable Resources                                  UCL Institute for Global Prosperity                                                                                                     News                                          Events                                          Publications                                          Bartlett TV                                          Subscribe                                                                 Arthur Kay named Guardian Sustainable Business Leader of the Year                                          14 August 2015                                                          Bartlett alum Arthur Kay has been named the youngest ever Guardian Sustainable Business Leader of the Year. 
3,14,AGI student of the year,http://www.igp.ucl.ac.uk/bartlett/casa/news/2015-11-27-AGI-student-of-the-year,"Her results were intriguing: At the borough level, Sharon found little evidence of demographic bias, but some correlation with crime statistics and transport accessibility â?? suggesting that the dataset is indeed highlighting areas of higher daytime populations. "
3,15,AGI student of the year,http://www.igp.ucl.ac.uk/bartlett/casa/news/2015-11-27-AGI-student-of-the-year/,"Her results were intriguing: At the borough level, Sharon found little evidence of demographic bias, but some correlation with crime statistics and transport accessibility â?? suggesting that the dataset is indeed highlighting areas of higher daytime populations. "
3,16,Stage 1 Year Out at The Bartlett School of Architecture,https://www.bartlett.ucl.ac.uk/programmes/layout-components/programmes-view/bartlett/architecture/programmes/professional-studies/stage-1-year-out,You are encouraged to enrol as soon as possible even if you have not yet found a placement.                          
3,17,Stage 1 Year Out at The Bartlett School of Architecture,http://www.igp.ucl.ac.uk/bartlett/architecture/programmes/professional-studies/stage-1-year-out,You are encouraged to enrol as soon as possible even if you have not yet found a placement.                          
3,18,What influences 11 year olds to drink?,http://www.ucl.ac.uk/news/news-articles/0316/070316-influences-11-year-old-drinking,The researchers found that nearly 14% of 11 year olds had drunk more than a few sips of alcohol at least once. 
3,19,What influences 11 year olds to drink?,http://www.ucl.ac.uk/news/news-articles/0316/070316-influences-11-year-old-drinking/,The researchers found that nearly 14% of 11 year olds had drunk more than a few sips of alcohol at least once. 
3,20,What influences 11 year olds to drink?,https://www.ucl.ac.uk/news/news-articles/0316/070316-influences-11-year-old-drinking,The researchers found that nearly 14% of 11 year olds had drunk more than a few sips of alcohol at least once. 
3,21,What influences 11 year olds to drink?,https://www.ucl.ac.uk/news/news-articles/0316/070316-influences-11-year-old-drinking/,The researchers found that nearly 14% of 11 year olds had drunk more than a few sips of alcohol at least once. 
3,22,Early Years Initial Teacher Training (employment pathway),https://www.ucl.ac.uk/ioe/courses/teacher-training/early-years-initial-teacher-training-employment-route,"Early Years Initial Teacher Training (employment pathway)                                               This new programme is designed to produce Early Years Teachers who will be specialists in early childhood development and the Early Years curriculum, making the education and care of babies and young children their primary concern.                                                   "
3,23,Early Years Initial Teacher Training (mainstream pathway),https://www.ucl.ac.uk/ioe/courses/teacher-training/early-years-initial-teacher-training-mainstream-route,"Early Years Initial Teacher Training (mainstream pathway)                                               This new programme is designed to produce Early Years Teachers who will be specialists in early childhood development and the Early Years curriculum, making the education and care of babies and young children their primary concern.                                                   "
3,24,Archio shortlisted for Young Architect of the Year Award,http://www.igp.ucl.ac.uk/bartlett/architecture/news/archio-shortlisted-for-young-architect-of-the-year-award,"UCL Inst. for Sustainable Heritage                                  UCL Inst. for Sustainable Resources                                  UCL Institute for Global Prosperity                                                                                                     News                                          Events                                          Publications                                          Bartlett TV                                          Subscribe                                                                 Archio shortlisted for Young Architect of the Year Award                                          13 February 2016                                                                    Archio                  , the practice of Bartlett School of Architecture alum Kyle Buchanan, has been shortlisted for this year's BD Young Architect of the Year Award (YAYA). "
3,25,Archio shortlisted for Young Architect of the Year Award,http://www.igp.ucl.ac.uk/bartlett/architecture/news/archio-shortlisted-for-young-architect-of-the-year-award/,"UCL Inst. for Sustainable Heritage                                  UCL Inst. for Sustainable Resources                                  UCL Institute for Global Prosperity                                                                                                     News                                          Events                                          Publications                                          Bartlett TV                                          Subscribe                                                                 Archio shortlisted for Young Architect of the Year Award                                          13 February 2016                                                                    Archio                  , the practice of Bartlett School of Architecture alum Kyle Buchanan, has been shortlisted for this year's BD Young Architect of the Year Award (YAYA). "
3,26,Stage 1 Year Out at The Bartlett School of Architecture,http://www.igp.ucl.ac.uk/bartlett/programmes/layout-components/programmes-view/bartlett/architecture/programmes/professional-studies/stage-1-year-out,You are encouraged to enrol as soon as possible even if you have not yet found a placement.                          
3,27,Stage 1 Year Out at The Bartlett School of Architecture,http://www.igp.ucl.ac.uk/bartlett/programmes/layout-components/programmes-view/bartlett/architecture/programmes/professional-studies/stage-1-year-out/,You are encouraged to enrol as soon as possible even if you have not yet found a placement.                          
3,28,School Direct (Tuition Fee): Early Years Initial Teacher Training,https://www.ucl.ac.uk/ioe/courses/teacher-training/early-years-initial-teacher-training-pgce-school-direct-pgce,"School Direct (Tuition Fee): Early Years Initial Teacher Training                                               This new programme is designed to produce Early Years Teachers who will be specialists in early childhood development and the Early Years curriculum, making the education and care of babies and young children their primary concern.                                                   "
3,29,Politics and East European Studies with a Year Abroad BA,https://www.ucl.ac.uk/ssees/prospective-students/undergraduate/politics-and-east-european-studies-year-abroad-ba/,"Information about the evidence required, acceptable qualifications and test providers can be found on our                                 English language requirements                                page.                                               "
3,30,Politics and East European Studies with a Year Abroad BA,https://www.ucl.ac.uk/ssees/prospective-students/undergraduate/politics-and-east-european-studies-year-abroad-ba,"Information about the evidence required, acceptable qualifications and test providers can be found on our                                 English language requirements                                page.                                               "
4,1,The Bartlett takes second place in QS World Rankings for Built Environment field,http://www.igp.ucl.ac.uk/bartlett/news/bartlett-qs-world-rankings,"The Bartlettâ??s standing in the QS World Rankings is preceded by its outstanding REF2014 performance, which confirmed that the faculty is producing the most world-leading 4 research in its field in the UK and scoring highly in research impact.                          "
4,2,The Bartlett takes second place in QS World Rankings for Built Environment field,http://www.igp.ucl.ac.uk/bartlett/news/bartlett-qs-world-rankings/,"The Bartlettâ??s standing in the QS World Rankings is preceded by its outstanding REF2014 performance, which confirmed that the faculty is producing the most world-leading 4 research in its field in the UK and scoring highly in research impact.                          "
4,3,UCL excels in QS World University Subject Rankings,https://www.ucl.ac.uk/news/news-articles/0316/22032016-ucl-excels-QS-world-university-subject-rankings,"In 2015, these rankings placed UCL at number 7 in the world.                                "
4,4,UCL excels in QS World University Subject Rankings,https://www.ucl.ac.uk/news/news-articles/0316/22032016-ucl-excels-QS-world-university-subject-rankings/,"In 2015, these rankings placed UCL at number 7 in the world.                                "
4,5,The Bartlett places 2nd in QS World Subject Rankings,http://www.igp.ucl.ac.uk/bartlett/news/bartlett-second-qs-ranking,"Published annually, the QS World University Rankings collects opinions from thousands of academics and employers and analyses 28.5 million research papers and more than 113 million citations to measure the impact of work done by institutions.                          "
4,6,The Bartlett places 2nd in QS World Subject Rankings,http://www.igp.ucl.ac.uk/bartlett/news/bartlett-second-qs-ranking/,"Published annually, the QS World University Rankings collects opinions from thousands of academics and employers and analyses 28.5 million research papers and more than 113 million citations to measure the impact of work done by institutions.                          "
